folder_name,relative_path,depth,direct_file_count,total_file_count_recursive,direct_subfolder_count
adrianocarvalhocosta_1966701161391244,your_instagram_activity\messages\inbox\adrianocarvalhocosta_1966701161391244,4,1,1,0
adrianoferreira_1505753140819384,your_instagram_activity\messages\inbox\adrianoferreira_1505753140819384,4,1,1,0
adriarocha_1305350134193020,your_instagram_activity\messages\inbox\adriarocha_1305350134193020,4,1,1,0
adrielydias_1747782279949801,your_instagram_activity\messages\inbox\adrielydias_1747782279949801,4,1,1,0
advogadatrabalhista_1708567107204652,your_instagram_activity\messages\inbox\advogadatrabalhista_1708567107204652,4,1,1,0
agenciagoianadedefesaagropecuaria_1753638252697537,your_instagram_activity\messages\inbox\agenciagoianadedefesaagropecuaria_1753638252697537,4,1,1,0
agenciagoianadeinfraestruturaetransportesgoinfra_1732027038191992,your_instagram_activity\messages\inbox\agenciagoianadeinfraestruturaetransportesgoinfra_1732027038191992,4,1,1,0
agenciametricarioverdego_1927308351997192,your_instagram_activity\messages\inbox\agenciametricarioverdego_1927308351997192,4,1,1,0
agrobayerbrasil_1617061996365434,your_instagram_activity\messages\inbox\agrobayerbrasil_1617061996365434,4,1,1,0
agrodefesagoias_1753647352696627,your_instagram_activity\messages\inbox\agrodefesagoias_1753647352696627,4,1,1,0
agroprosapodcast_1875191117208916,your_instagram_activity\messages\inbox\agroprosapodcast_1875191117208916,4,1,1,0
agrotecsegurancadotrabalho_1687943875933642,your_instagram_activity\messages\inbox\agrotecsegurancadotrabalho_1687943875933642,4,1,1,0
aguiaautomoveisseminovosrioverdego_1512194733556414,your_instagram_activity\messages\inbox\aguiaautomoveisseminovosrioverdego_1512194733556414,4,1,1,0
ailtoncruzcomunicador_1745021790225850,your_instagram_activity\messages\inbox\ailtoncruzcomunicador_1745021790225850,4,1,1,0
ailtonsilvasuaempresanatelamaisinfluentedegoias_1780639829997379,your_instagram_activity\messages\inbox\ailtonsilvasuaempresanatelamaisinfluentedegoias_1780639829997379,4,1,1,0
ajerioverde_553220089406032,your_instagram_activity\messages\inbox\ajerioverde_553220089406032,4,1,1,0
albertobarellanetto_984355672347477,your_instagram_activity\messages\inbox\albertobarellanetto_984355672347477,4,1,1,0
alcypacheco_1750901106304585,your_instagram_activity\messages\inbox\alcypacheco_1750901106304585,4,1,1,0
alecrimcomunicacaoeassessoria_1113455736727061,your_instagram_activity\messages\inbox\alecrimcomunicacaoeassessoria_1113455736727061,4,1,1,0
alergfit_1083324533062249,your_instagram_activity\messages\inbox\alergfit_1083324533062249,4,1,1,0
alergovacinasrioverde_1337408674320499,your_instagram_activity\messages\inbox\alergovacinasrioverde_1337408674320499,4,1,1,0
alessandrogil_1226159962112038,your_instagram_activity\messages\inbox\alessandrogil_1226159962112038,4,1,1,0
alexandregiffoni_1760885761972786,your_instagram_activity\messages\inbox\alexandregiffoni_1760885761972786,4,1,1,0
alexgoncalves_1404129144323844,your_instagram_activity\messages\inbox\alexgoncalves_1404129144323844,4,1,1,0
